Valor Origem de A | Valor Origem de B | Valor Final de A | Valor Final de B
52 | 58 | 58 | 52
93 | 22 | 22 | 93
15 | 89 | 89 | 15
72 | 49 | 49 | 72
61 | 91 | 91 | 61
21 | 59 | 59 | 21
83 | 42 | 42 | 83
87 | 92 | 92 | 87
75 | 60 | 60 | 75
75 | 80 | 80 | 75
88 | 15 | 15 | 88
24 | 62 | 62 | 24
3 | 62 | 62 | 3
22 | 47 | 47 | 22
53 | 62 | 62 | 53
2 | 51 | 51 | 2
88 | 55 | 55 | 88
30 | 64 | 64 | 30
38 | 3 | 3 | 38
2 | 51 | 51 | 2
64 | 7 | 7 | 64
60 | 21 | 21 | 60
21 | 73 | 73 | 21
33 | 39 | 39 | 33
76 | 18 | 18 | 76
