Vendedor | Qtd Itens | Valor Vendido | Valor Comissão | Salário | Salário Final
Vendor 1 | 48 | 1028.27 | 336 | 1200 | 1587.41
Vendor 2 | 38 | 1092.25 | 266 | 1200 | 1520.61
Vendor 3 | 24 | 3099.1 | 168 | 1200 | 1522.96
Vendor 4 | 17 | 2599.44 | 119 | 1200 | 1448.97
Vendor 5 | 30 | 1186.66 | 210 | 1200 | 1469.33
Vendor 6 | 48 | 4895.02 | 336 | 1200 | 1780.75
Vendor 7 | 28 | 1931.09 | 196 | 1200 | 1492.55
Vendor 8 | 32 | 1362.43 | 224 | 1200 | 1492.12
Vendor 9 | 20 | 3473.54 | 140 | 1200 | 1513.68
Vendor 10 | 20 | 2529.85 | 140 | 1200 | 1466.49
Vendor 11 | 33 | 4932.92 | 231 | 1200 | 1677.65
Vendor 12 | 45 | 2867.05 | 315 | 1200 | 1658.35
Vendor 13 | 49 | 4439.76 | 343 | 1200 | 1764.99
Vendor 14 | 33 | 3721.23 | 231 | 1200 | 1617.06
Vendor 15 | 12 | 2802.0 | 84 | 1200 | 1424.1
Vendor 16 | 31 | 1053.06 | 217 | 1200 | 1469.65
Vendor 17 | 11 | 4768.81 | 77 | 1200 | 1515.44
Vendor 18 | 33 | 3253.15 | 231 | 1200 | 1593.66
Vendor 19 | 39 | 2541.67 | 273 | 1200 | 1600.08
Vendor 20 | 47 | 1063.87 | 329 | 1200 | 1582.19
Vendor 21 | 11 | 1923.58 | 77 | 1200 | 1373.18
Vendor 22 | 30 | 1964.1 | 210 | 1200 | 1508.2
Vendor 23 | 42 | 3733.05 | 294 | 1200 | 1680.65
Vendor 24 | 21 | 3439.99 | 147 | 1200 | 1519.0
Vendor 25 | 31 | 4332.78 | 217 | 1200 | 1633.64
