Nome do Cliente | Qtd Comprada | Valor Aplicado | Valor Venda
Customer 1 | 7 | 10.83 | 75.81
Customer 2 | 15 | 10.0 | 150.0
Customer 3 | 11 | 10.83 | 119.13
Customer 4 | 8 | 10.83 | 86.64
Customer 5 | 7 | 10.83 | 75.81
Customer 6 | 19 | 10.0 | 190.0
Customer 7 | 11 | 10.83 | 119.13
Customer 8 | 11 | 10.83 | 119.13
Customer 9 | 4 | 10.83 | 43.32
Customer 10 | 8 | 10.83 | 86.64
Customer 11 | 3 | 10.83 | 32.49
Customer 12 | 2 | 10.83 | 21.66
Customer 13 | 12 | 10.0 | 120.0
Customer 14 | 6 | 10.83 | 64.98
Customer 15 | 2 | 10.83 | 21.66
Customer 16 | 1 | 10.83 | 10.83
Customer 17 | 12 | 10.0 | 120.0
Customer 18 | 12 | 10.0 | 120.0
Customer 19 | 17 | 10.0 | 170.0
Customer 20 | 10 | 10.83 | 108.3
Customer 21 | 16 | 10.0 | 160.0
Customer 22 | 15 | 10.0 | 150.0
Customer 23 | 15 | 10.0 | 150.0
Customer 24 | 19 | 10.0 | 190.0
Customer 25 | 12 | 10.0 | 120.0
TOTAL | 255 | 261.62 | 2625.53
...
Quantidade Total de Camisas Vendidas: 510
Valor Total de Venda: 5251.0599999999995
