Núm. Partida | Início | Término | Tempo Total
1 | 20:07 | 20:32 | 0:25:00
2 | 23:17 | 03:27 | 4:10:00
3 | 07:08 | 08:52 | 1:44:00
4 | 21:47 | 07:05 | 9:18:00
5 | 02:37 | 09:49 | 7:12:00
6 | 01:01 | 02:36 | 1:35:00
7 | 06:14 | 14:51 | 8:37:00
8 | 19:01 | 04:35 | 9:34:00
9 | 06:45 | 17:50 | 11:05:00
10 | 22:34 | 05:43 | 7:09:00
11 | 07:28 | 17:31 | 10:03:00
12 | 08:51 | 08:57 | 0:06:00
13 | 05:44 | 12:56 | 7:12:00
14 | 10:17 | 12:56 | 2:39:00
15 | 06:48 | 12:32 | 5:44:00
16 | 03:05 | 09:34 | 6:29:00
17 | 03:22 | 09:14 | 5:52:00
18 | 19:16 | 20:00 | 0:44:00
19 | 23:29 | 08:38 | 9:09:00
20 | 03:59 | 10:26 | 6:27:00
21 | 02:35 | 07:35 | 5:00:00
22 | 20:39 | 02:49 | 6:10:00
23 | 18:12 | 19:23 | 1:11:00
24 | 01:42 | 05:35 | 3:53:00
25 | 09:05 | 13:03 | 3:58:00
